,Biovar Classification
GCF_000480155_1_Bruc_suis_97-9757_V1_genomic,No Matched Biovar
GCF_000157775_1_ASM15777v1_genomic,Biovar 3
GCF_003994045_1_ASM399404v1_genomic,Biovar 1
GCF_000371205_1_Bruc_suis_F5_05-4_V1_genomic,Biovar 2
GCF_000698325_1_ASM69832v1_genomic,Biovar 2
GCF_000292005_1_ASM29200v2_genomic,No Matched Biovar
GCF_000366245_1_Bruc_suis_94_11_V1_genomic,Biovar 2
GCF_000742055_1_ASM74205v1_genomic,Biovar 2
GCF_000740255_1_ASM74025v1_genomic,Biovar 3
GCF_000371085_1_Bruc_suis_01-5744_V1_genomic,No Matched Biovar
GCF_000698285_1_ASM69828v1_genomic,Biovar 2
GCF_000366225_1_Bruc_suis_92_63_V1_genomic,Biovar 2
GCF_000600055_1_ASM60005v1_genomic,Biovar 1
GCF_000365705_1_Bruc_suis_F4_06-146_V1_genomic,Biovar 2
GCF_000366085_1_Bruc_suis_63_252_V1_genomic,Biovar 4
GCF_000160275_1_ASM16027v1_genomic,Biovar 4
GCF_000371285_1_Bruc_suis_F8_06-1_V1_genomic,Biovar 2
GCF_000699025_1_ASM69902v1_genomic,Biovar 2
GCF_000292105_1_ASM29210v2_genomic,No Matched Biovar
GCF_000223195_1_ASM22319v1_genomic,Biovar 1
GCF_000741995_1_ASM74199v1_genomic,Biovar 4
GCF_000480195_1_Bruc_sp_04-5288_V1_genomic,No Matched Biovar
GCF_000331635_1_Brucella_019_genomic,Biovar 1
GCF_000371325_1_Bruc_suis_F9_06-1_V1_genomic,Biovar 2
GCF_000698245_1_ASM69824v1_genomic,Biovar 2
GCF_000701065_1_Bru1330_genomic,Biovar 1
GCF_000740435_1_ASM74043v1_genomic,Biovar 4
GCF_000371145_1_Bruc_suis_CNGB_247_V1_genomic,No Matched Biovar
GCF_000365585_1_Bruc_suis_F5_03-2_V1_genomic,Biovar 2
GCF_000371185_1_Bruc_suis_5_05-10_V1_genomic,No Matched Biovar
GCF_001715425_1_ASM171542v1_genomic,Biovar 1
GCF_000371265_1_Bruc_suis_F7_06-5_V1_genomic,Biovar 2
GCF_002749475_1_ASM274947v1_genomic,Biovar 1
GCF_003194855_1_ASM319485v1_genomic,Biovar 1
GCF_000365565_1_Bruc_suis_F8_06-2_V1_genomic,Biovar 2
GCF_000742005_1_ASM74200v1_genomic,Biovar 1
GCF_004684165_1_ASM468416v1_genomic,Biovar 1
GCF_000236255_1_ASM23625v1_genomic,Biovar 1
GCF_000480055_1_Bruc_suis_04-0115_V1_genomic,Biovar 2
GCF_000371305_1_Bruc_suis_F8_06-3_V1_genomic,Biovar 2
GCF_000480315_1_Bruc_suis_06-988-1656_V1_genomic,Biovar 2
GCF_000875695_1_ASM87569v1_genomic,Biovar 1
GCF_000371245_1_Bruc_suis_F7_06-2_V1_genomic,Biovar 2
GCF_000371225_1_Bruc_suis_F7_06-1_V1_genomic,Biovar 2
GCF_000007505_1_ASM750v1_genomic,Biovar 1
GCF_000371125_1_Bruc_suis_63_261_V1_genomic,Biovar 2
GCF_003994175_1_ASM399417v1_genomic,Biovar 2
GCF_000018905_1_ASM1890v1_genomic,Biovar 2
GCF_000366265_1_Bruc_suis_CNGB_786_V1_genomic,Biovar 1
GCF_000480035_1_Bruc_suis_06-791-1309_V1_genomic,Biovar 2
GCF_000371165_1_Bruc_suis_F12_02_V1_genomic,Biovar 2
GCF_900460605_1_58116_D02_genomic,Biovar 1
GCF_000366205_1_Bruc_suis_92_29_V1_genomic,Biovar 1
GCF_000371105_1_Bruc_suis_63_198_V1_genomic,Biovar 4
GCF_000209635_2_ASM20963v2_genomic,Biovar 1
GCF_001594165_1_ASM159416v1_genomic,Biovar 1
GCF_900446145_1_59071_D01_genomic,Biovar 1
GCF_000480135_1_Bruc_suis_06-997-1672_V1_genomic,Biovar 2
GCF_000698345_1_ASM69834v1_genomic,Biovar 2
GCF_900446155_1_59302_G01_genomic,No Matched Biovar
